"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.273959420E-1,1.400306225E-1,-7.602277756E0,8.066949844E-1
7.322198480E-1,1.566720009E-1,-7.367436409E0,8.963527679E-1
7.370438070E-1,2.947280407E-1,-7.103176117E0,1.062047005E0
7.418677130E-1,3.341501951E-1,-7.120704174E0,9.475145340E-1
7.466916710E-1,5.824670792E-1,-7.168246746E0,9.571390152E-1
7.515155770E-1,6.448112726E-1,-7.275798798E0,8.011245728E-1
7.563394840E-1,5.480068922E-1,-7.344850540E0,4.887313843E-1
7.611634420E-1,5.131483078E-1,-7.436597824E0,1.478147507E-1
7.659873480E-1,5.984557867E-1,-7.467214584E0,-2.068490982E-1
7.708113070E-1,7.260850668E-1,-7.557422161E0,-3.514261246E-1
7.756352130E-1,6.956409216E-1,-7.845926762E0,-6.006774902E-1
7.804591710E-1,5.192348957E-1,-8.235070229E0,-1.020205498E0
7.852830770E-1,9.653130174E-1,-8.673464775E0,-1.174398422E0
7.901069840E-1,1.283096313E0,-9.164231300E0,-1.217650414E0
7.949309420E-1,1.030080557E0,-9.378024101E0,-1.278896332E0
7.997548480E-1,7.045334578E-1,-9.617737770E0,-1.419859886E0
8.045788070E-1,6.821894646E-1,-9.984504700E0,-1.476570129E0
8.094027130E-1,7.135863304E-1,-1.010577011E1,-1.447821617E0
8.142266190E-1,7.131979465E-1,-1.012531853E1,-1.448819160E0
8.190505770E-1,5.726048946E-1,-1.013347149E1,-1.434699059E0
8.238744840E-1,5.891132355E-1,-1.034381676E1,-1.437358856E0
8.286984420E-1,7.094120979E-1,-1.076151180E1,-1.372434616E0
8.335223480E-1,8.221168518E-1,-1.097590923E1,-1.336648941E0
8.383462540E-1,7.522971630E-1,-1.095017052E1,-1.287603378E0
8.431702130E-1,7.657527924E-1,-1.064851093E1,-1.183095932E0
8.479941190E-1,9.045430422E-1,-1.041573429E1,-9.670324326E-1
8.528180770E-1,9.403012991E-1,-1.047501564E1,-7.855243683E-1
8.576419840E-1,6.678036451E-1,-1.017583466E1,-6.973962784E-1
8.624659420E-1,6.529307365E-1,-9.856370926E0,-5.875501633E-1
8.672898480E-1,8.079330921E-1,-9.517738342E0,-1.822319031E-1
8.721137540E-1,9.300394058E-1,-9.469911575E0,8.689785004E-2
8.769377130E-1,9.472753406E-1,-9.376288414E0,2.715005875E-1
8.817616190E-1,8.955088854E-1,-8.824659348E0,7.303762436E-1
8.865855770E-1,6.975522041E-1,-8.582029343E0,9.209394455E-1
8.914094840E-1,4.494217634E-1,-8.680105209E0,4.768390656E-1
8.962333900E-1,5.905150771E-1,-8.615520477E0,4.511423111E-1
9.010573480E-1,7.374697924E-1,-8.575387955E0,7.254276276E-1
9.058812540E-1,6.234724522E-1,-8.612086296E0,5.416336060E-1
9.107052130E-1,6.376801729E-1,-8.630167007E0,1.781644821E-1
9.155291190E-1,6.473452449E-1,-8.748773575E0,-1.924991608E-2
9.203530770E-1,7.154257298E-1,-8.829613686E0,-1.089401245E-1
9.251769840E-1,7.547693253E-1,-8.906243324E0,-5.132198334E-2
9.300008900E-1,7.348562479E-1,-9.021636009E0,-6.949424744E-3
9.348248480E-1,5.968197584E-1,-9.268082619E0,-2.092533112E-1
9.396487540E-1,3.822705150E-1,-9.599308014E0,-4.191341400E-1
9.444727130E-1,1.608767509E-1,-9.867154121E0,-3.320550919E-1
9.492966190E-1,-3.999021649E-2,-1.022641373E1,-2.472381592E-1
9.541205250E-1,-1.173252761E-1,-1.040021992E1,-3.099441528E-1
9.589444840E-1,-2.612489164E-1,-1.046095181E1,-2.766246796E-1
9.637683900E-1,-2.647493482E-1,-1.058749390E1,-2.406024933E-2
9.685923480E-1,-6.393661499E-1,-1.068875027E1,1.276521683E-1
9.734162540E-1,-8.871412277E-1,-1.077883053E1,1.146240234E-1
9.782402130E-1,-8.819602132E-1,-1.069827557E1,1.921977997E-1
9.830641190E-1,-8.812050819E-1,-1.068585014E1,5.729770660E-2
9.878880250E-1,-9.427179098E-1,-1.061988449E1,1.225671768E-1
9.927119840E-1,-1.040029526E0,-1.053381252E1,1.272239685E-1
9.975358900E-1,-1.165202141E0,-1.040861320E1,-5.244541168E-2
1.002359848E0,-1.290775776E0,-1.028259659E1,-1.180715561E-1
1.007183754E0,-1.394137859E0,-1.013915634E1,-1.203279495E-1
1.012007661E0,-1.513616323E0,-9.933407784E0,-1.856718063E-1
1.016831619E0,-1.672014236E0,-9.627797127E0,-1.588468552E-1
1.021655525E0,-1.843924403E0,-9.199416161E0,-5.195331573E-2
1.026479484E0,-1.890064716E0,-8.882575035E0,2.772521973E-2
1.031303390E0,-1.931467056E0,-8.688751221E0,9.486484528E-2
1.036127348E0,-1.857544184E0,-8.460377693E0,1.093034744E-1
1.040951254E0,-1.686886787E0,-8.257150650E0,2.048969269E-1
1.045775161E0,-1.695581436E0,-7.972069263E0,3.434658051E-1
1.050599119E0,-1.579734921E0,-7.636822701E0,4.678554535E-1
1.055423025E0,-1.494465590E0,-7.711028576E0,2.067222595E-1
1.060246984E0,-1.279092073E0,-7.754321575E0,1.643962860E-1
1.065070890E0,-1.346463084E0,-7.550047398E0,1.551628113E-3
1.069894796E0,-1.362655163E0,-7.582462788E0,-3.648538589E-1
1.074718754E0,-1.155597925E0,-7.645403385E0,-6.459665298E-1
1.079542661E0,-1.131604552E0,-7.590916634E0,-8.662528992E-1
1.084366619E0,-1.172628641E0,-7.564461708E0,-1.009554863E0
1.089190525E0,-1.028837919E0,-7.713193893E0,-1.226383209E0
1.094014432E0,-9.211618900E-1,-8.099987984E0,-1.447326660E0
1.098838390E0,-8.740099669E-1,-8.539273262E0,-1.636551857E0
1.103662296E0,-9.045638442E-1,-8.861063957E0,-1.765460968E0
1.108486254E0,-9.747676849E-1,-9.015665054E0,-1.810276985E0
1.113310161E0,-8.980070353E-1,-8.820486069E0,-1.675803185E0
1.118134119E0,-6.762940884E-1,-8.915579796E0,-1.534082413E0
1.122958025E0,-5.453748107E-1,-9.261104584E0,-1.380198479E0
1.127781932E0,-6.192271113E-1,-9.388998032E0,-1.273651123E0
1.132605890E0,-5.676788688E-1,-9.336422920E0,-9.760599136E-1
1.137429796E0,-6.058752537E-1,-9.316631317E0,-9.505615234E-1
1.142253702E0,-5.663963556E-1,-9.317827225E0,-9.865055084E-1
1.147077661E0,-5.988482237E-1,-9.323474884E0,-8.598995209E-1
1.151901515E0,-4.799723029E-1,-9.248458862E0,-6.433248520E-1
1.156725525E0,-3.323306441E-1,-9.174802780E0,-4.614925385E-1
1.161549432E0,-3.397553563E-1,-9.072035789E0,-4.264698029E-1
1.166373390E0,-2.995232940E-1,-8.883952141E0,-3.019857407E-1
1.171197296E0,-4.627406597E-2,-8.457313538E0,9.474563599E-2
1.176021202E0,-9.620893002E-2,-7.837345600E0,4.790277481E-1
1.180845161E0,-2.686415315E-1,-7.500122070E0,6.842870712E-1
1.185669067E0,-7.821840048E-2,-7.212021351E0,9.233484268E-1
1.190493025E0,3.773033619E-3,-7.071097851E0,1.079451561E0
1.195316932E0,-1.672381163E-2,-7.096435547E0,1.129320145E0
1.200140890E0,2.639710903E-3,-6.985213280E0,1.183219910E0
1.204964796E0,-6.853610277E-2,-6.981310368E0,1.012527466E0
1.209788702E0,7.110422850E-2,-6.984660149E0,9.042043686E-1
1.214612661E0,1.719278693E-1,-7.102625370E0,8.651447296E-1
1.219436567E0,2.469660640E-1,-7.105940819E0,6.591501236E-1
1.224260525E0,3.386056423E-1,-6.983272552E0,6.086740494E-1
1.229084432E0,3.793911934E-1,-6.916327477E0,6.130905151E-1
1.233908338E0,3.994665146E-1,-6.954822063E0,4.340143204E-1
1.238732296E0,3.665119708E-1,-7.166825294E0,1.987342834E-1
1.243556202E0,2.148245275E-1,-7.641326427E0,-5.169105530E-2
1.248380161E0,1.519878507E-1,-8.002392769E0,-2.525539398E-1
1.253204067E0,1.571524739E-1,-8.290456772E0,-2.774829865E-1
1.258027973E0,1.471738219E-1,-8.633827209E0,-1.888980865E-1
1.262851932E0,6.797581911E-2,-8.814893723E0,-1.324167252E-1
1.267675838E0,-2.304151058E-1,-8.885980606E0,-3.077602386E-1
1.272499796E0,-2.254178524E-1,-8.963797569E0,-2.801523209E-1
1.277323702E0,-5.642747879E-2,-9.221558571E0,-6.496047974E-2
1.282147609E0,-1.068472862E-1,-9.295674324E0,-2.559852600E-2
1.286971567E0,-1.816079617E-1,-9.288793564E0,-9.279441833E-2
1.291795473E0,-1.964589357E-1,-9.377007484E0,-5.474662781E-2
