"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.467840670E-1,-1.142775297E0,5.986474752E-1,1.190606022E1
8.491959940E-1,-1.205083489E0,4.080576599E-1,1.190117264E1
8.516079730E-1,-1.263726473E0,2.101374865E-1,1.189628601E1
8.540199520E-1,-1.313817382E0,1.954767294E-2,1.189017773E1
8.564318790E-1,-1.352912784E0,-1.661552191E-1,1.188773441E1
8.588438590E-1,-1.383455992E0,-3.506363928E-1,1.188284683E1
8.612558380E-1,-1.406668901E0,-5.351175666E-1,1.188162518E1
8.636678170E-1,-1.421329618E0,-7.232639194E-1,1.188162518E1
8.660797440E-1,-1.421329618E0,-9.175189137E-1,1.188406849E1
8.684917230E-1,-1.413999200E0,-1.112995625E0,1.188529015E1
8.709037020E-1,-1.395673275E0,-1.302363753E0,1.188895607E1
8.733156290E-1,-1.374903917E0,-1.484401464E0,1.189262104E1
8.757276090E-1,-1.341917157E0,-1.660330415E0,1.189506435E1
8.781395880E-1,-1.297934890E0,-1.820376992E0,1.189872932E1
8.805515670E-1,-1.238070250E0,-1.948658705E0,1.190483856E1
8.829634940E-1,-1.174540281E0,-2.045175314E0,1.190972519E1
8.853754730E-1,-1.103679895E0,-2.112370491E0,1.191461182E1
8.877874520E-1,-1.030376196E0,-2.149022341E0,1.191827774E1
8.901993790E-1,-9.582940936E-1,-2.161239624E0,1.192316437E1
8.926113590E-1,-8.849903345E-1,-2.166126490E0,1.192560768E1
8.950233380E-1,-8.055779338E-1,-2.173456907E0,1.192560768E1
8.974352650E-1,-7.249437571E-1,-2.169791698E0,1.192805099E1
8.998472440E-1,-6.394227147E-1,-2.127031088E0,1.192805099E1
9.022592230E-1,-5.563451052E-1,-2.054949045E0,1.192682934E1
9.046712020E-1,-4.732674956E-1,-1.966984630E0,1.192682934E1
9.070831290E-1,-3.950767815E-1,-1.868024468E0,1.192560768E1
9.094951090E-1,-3.168860972E-1,-1.758068800E0,1.192316437E1
9.119070880E-1,-2.435823381E-1,-1.639561057E0,1.192072105E1
9.143190150E-1,-1.727220118E-1,-1.517388105E0,1.191705513E1
9.167309940E-1,-1.055268943E-1,-1.393993378E0,1.191216850E1
9.191429730E-1,-3.955349326E-2,-1.262046576E0,1.190972519E1
9.215549520E-1,2.397644334E-2,-1.120326042E0,1.190606022E1
9.239668790E-1,8.017600328E-2,-9.761618972E-1,1.189995098E1
9.263788590E-1,1.363755614E-1,-8.271108866E-1,1.189506435E1
9.287908380E-1,1.864664704E-1,-6.817250848E-1,1.189262104E1
9.312027650E-1,2.316704690E-1,-5.302306414E-1,1.188773441E1
9.336147440E-1,2.695440948E-1,-3.799578846E-1,1.188284683E1
9.360267230E-1,3.013090491E-1,-2.272416949E-1,1.187918186E1
9.384386500E-1,3.257436454E-1,-7.086031139E-2,1.187918186E1
9.408506290E-1,3.440696001E-1,8.918625861E-2,1.188040352E1
9.432626090E-1,3.575085998E-1,2.492328286E-1,1.187918186E1
9.456745880E-1,3.648389876E-1,4.019490182E-1,1.187918186E1
9.480865150E-1,3.660607338E-1,5.485565662E-1,1.188040352E1
9.504984940E-1,3.587303460E-1,6.829468012E-1,1.188162518E1
9.529104730E-1,3.477347791E-1,8.100066781E-1,1.188162518E1
9.553224000E-1,3.318522871E-1,9.309579134E-1,1.188284683E1
9.577343790E-1,3.135263622E-1,1.045800447E0,1.188651276E1
9.601463590E-1,2.903134823E-1,1.143538833E0,1.188651276E1
9.625582860E-1,2.622137070E-1,1.224173069E0,1.188651276E1
9.649702650E-1,2.304487377E-1,1.296255112E0,1.188895607E1
9.673822440E-1,1.950185746E-1,1.365893602E0,1.188895607E1
9.697942230E-1,1.547015011E-1,1.424536705E0,1.189017773E1
