"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.723531820E-1,-1.287338614E0,-8.360522270E0,9.891928673E0
5.747651090E-1,-1.263410330E0,-8.264809608E0,9.939785004E0
5.771770880E-1,-1.268195987E0,-8.145168304E0,9.963713646E0
5.795890670E-1,-1.138983607E0,-8.116454124E0,1.001156998E1
5.820010460E-1,-9.714859724E-1,-8.178668022E0,1.007378292E1
5.844129730E-1,-9.523434043E-1,-8.149953842E0,1.010728264E1
5.868249520E-1,-8.997012973E-1,-8.001599312E0,1.027956581E1
5.892369320E-1,-8.087740541E-1,-7.901100159E0,1.034177971E1
5.916488590E-1,-6.939185858E-1,-7.901100159E0,1.027956581E1
5.940608380E-1,-5.599204898E-1,-8.015955925E0,1.009771156E1
5.964728170E-1,-4.354937077E-1,-8.059026718E0,9.930213928E0
5.988847960E-1,-3.254238665E-1,-8.059026718E0,9.896714211E0
6.012967230E-1,-2.536391914E-1,-8.039883614E0,9.982855797E0
6.037087020E-1,-1.579262912E-1,-8.078168869E0,1.008335495E1
6.061206820E-1,-6.699903309E-2,-8.145168304E0,1.003549862E1
6.085326090E-1,-2.871387079E-2,-8.250452042E0,9.882357597E0
6.109445880E-1,-1.914258115E-2,-8.346165657E0,9.719645500E0
6.133565670E-1,9.571290575E-3,-8.403593063E0,9.686145782E0
6.157685460E-1,1.435693540E-2,-8.470592499E0,9.690931320E0
6.181804730E-1,2.871387079E-2,-8.585447311E0,9.657432556E0
6.205924520E-1,3.828516230E-2,-8.662017822E0,9.552147865E0
6.230044320E-1,5.264209956E-2,-8.729017258E0,9.446864128E0
6.254163590E-1,8.135596663E-2,-8.757730484E0,9.399007797E0
6.278283380E-1,1.004985496E-1,-8.834300995E0,9.451649666E0
6.302403170E-1,1.052841991E-1,-8.910871506E0,9.518648148E0
6.326522440E-1,8.614161611E-2,-8.963513374E0,9.537791252E0
6.350642230E-1,4.785645287E-3,-9.145368576E0,9.451649666E0
6.374762020E-1,-5.264209956E-2,-9.327222824E0,9.322437286E0
6.398881820E-1,-1.244267747E-1,-9.475577354E0,9.255437851E0
6.423001090E-1,-2.057827413E-1,-9.566504478E0,9.279366493E0
6.447120880E-1,-2.919243574E-1,-9.600004196E0,9.399007797E0
6.471240670E-1,-3.828516304E-1,-9.609575272E0,9.590433121E0
6.495359940E-1,-5.024927258E-1,-9.786644936E0,9.614361763E0
6.519479730E-1,-5.742774606E-1,-1.004028416E1,9.533005714E0
6.543599520E-1,-5.886343718E-1,-1.015035343E1,9.470791817E0
6.567719320E-1,-5.072783828E-1,-1.017428207E1,9.513862610E0
6.591838590E-1,-4.642075896E-1,-1.024128056E1,9.719645500E0
6.615958380E-1,-5.407779217E-1,-1.042792130E1,9.963713646E0
6.640078170E-1,-6.652047038E-1,-1.056670475E1,1.012642574E1
6.664197440E-1,-8.039883971E-1,-1.060499001E1,1.009292603E1
6.688317230E-1,-1.052842021E0,-1.057627583E1,1.000678444E1
6.712437020E-1,-1.196411371E0,-1.054756260E1,1.002592659E1
6.736556290E-1,-1.225125194E0,-1.061934662E1,1.019342422E1
6.760676090E-1,-1.282552958E0,-1.066241741E1,1.031785107E1
6.784795880E-1,-1.244267821E0,-1.063848972E1,1.034656525E1
6.808915670E-1,-1.234696507E0,-1.057627583E1,1.023649502E1
6.833034940E-1,-1.325623751E0,-1.056191921E1,1.005464077E1
